"STOP_NUMBER"	"STOP_NAME"	"STOP_ZAZA"
410279	"ACORNHOEK"	"ZAZAACORNHOEK"
311119	"ANERLEY"	"ZAZAANERLEY"
24397	"AGGENEYS"	"ZAZAAGGENEYS"
10925	"ALBERTINA"	"ZAZAALBERTINA"
21923	"ALEXANDRIA"	"ZAZAALEXANDRIA"
187949	"APEL - BUS STOP"	"ZAZAAPEL-BUSSTOP"
191762	"ARANDIS"	"ZAZAARANDIS"
243820	"MOUNT AYLIFF"	"ZAZAMOUNTAYLIFF"
10921	"MOUNT ALYFF"	"ZAZAMOUNTALYFF"
330041	"DE AAR"	"ZAZADEAAR"
143981	"O R TAMBO AIRPORT"	"ZAZAORTAMBOAIRPORT"
317519	"PORT ALFRED"	"ZAZAPORTALFRED"
6902	"BELLVILLE"	"ZAZABELLVILLE"
6906	"BEAUFORT WEST"	"ZAZABEAUFORTWEST"
6409	"BLOEMFONTEIN"	"ZAZABLOEMFONTEIN"
6540	"BUTTERWORTH"	"ZAZABUTTERWORTH"
6911	"BULAWAYO"	"ZAZABULAWAYO"
6895	"BEIT BRIDGE"	"ZAZABEITBRIDGE"
8554	"BLOEMHOF"	"ZAZABLOEMHOF"
310979	"BEITBRIDGE"	"ZAZABEITBRIDGE"
8314	"BRITSTOWN"	"ZAZABRITSTOWN"
187839	"BARAGWANATH"	"ZAZABARAGWANATH"
7282	"BEDFORD"	"ZAZABEDFORD"
230416	"BANANA BEACH"	"ZAZABANANABEACH"
8312	"BLANTYRE"	"ZAZABLANTYRE"
185345	"BALFOUR"	"ZAZABALFOUR"
9487	"BALLITO"	"ZAZABALLITO"
7271	"BENONI"	"ZAZABENONI"
9478	"BETHAL"	"ZAZABETHAL"
8311	"BETHLEHEM"	"ZAZABETHLEHEM"
187532	"BIZANA"	"ZAZABIZANA"
14736	"BOTHAVILLE"	"ZAZABOTHAVILLE"
9140	"BRAKPAN"	"ZAZABRAKPAN"
8553	"BRANDFORT"	"ZAZABRANDFORT"
8313	"BRANDVLEI"	"ZAZABRANDVLEI"
187591	"BUSHBUCKRIDGE"	"ZAZABUSHBUCKRIDGE"
230401	"BANNERS REST"	"ZAZABANNERSREST"
6395	"BELFAST"	"ZAZABELFAST"
217769	"BIABA"	"ZAZABIABA"
247761	"BIRCHENOUGH"	"ZAZABIRCHENOUGH"
185347	"BLOODRIVER"	"ZAZABLOODRIVER"
7270	"BOKSBURG"	"ZAZABOKSBURG"
30494	"BOSHOF"	"ZAZABOSHOF"
215243	"BOTSHABELO"	"ZAZABOTSHABELO"
23078	"BRONKHORSTSPRUIT"	"ZAZABRONKHORSTSPRUIT"
218790	"BABANGU"	"ZAZABABANGU"
250394	"BAIXA"	"ZAZABAIXA"
188075	"BAMBO"	"ZAZABAMBO"
218789	"BARA RANK"	"ZAZABARARANK"
329339	"BARKLY WEST"	"ZAZABARKLYWEST"
187709	"BATAUNG"	"ZAZABATAUNG"
252066	"BATOKA"	"ZAZABATOKA"
241425	"BAZIYA"	"ZAZABAZIYA"
225579	"BEITBRIGDE"	"ZAZABEITBRIGDE"
187909	"BEL OMBRE - STATION"	"ZAZABELOMBRE-STATION"
203644	"BELA - BELA"	"ZAZABELA-BELA"
409441	"BEZ VALLEY"	"ZAZABEZVALLEY"
235089	"BHABANGU"	"ZAZABHABANGU"
218682	"BIRCHENOUUGH"	"ZAZABIRCHENOUUGH"
215250	"BLOUBERG"	"ZAZABLOUBERG"
188078	"BLUEGUMS"	"ZAZABLUEGUMS"
187925	"BOONS - MAIN ROAD"	"ZAZABOONS-MAINROAD"
1214398	"BOTRIVIER"	"ZAZABOTRIVIER"
215249	"BREDASDORP"	"ZAZABREDASDORP"
121564	"BUFFELJAGS"	"ZAZABUFFELJAGS"
235090	"BUNGENI"	"ZAZABUNGENI"
6946	"MOSSEL BAY"	"ZAZAMOSSELBAY"
17182	"FORT BEAUFORT"	"ZAZAFORTBEAUFORT"
238375	"PLETTENBERG BAY"	"ZAZAPLETTENBERGBAY"
7263	"SHELLY BEACH"	"ZAZASHELLYBEACH"
35903	"JEFFREYS BAY"	"ZAZAJEFFREYSBAY"
9485	"RICHARDS BAY"	"ZAZARICHARDSBAY"
121543	"GORDONS BAY"	"ZAZAGORDONSBAY"
238825	"GROOT BRAKRIVIER"	"ZAZAGROOTBRAKRIVIER"
11061	"NAMIBIA BORDER POST"	"ZAZANAMIBIABORDERPOST"
6951	"PLETTENBURG BAY"	"ZAZAPLETTENBURGBAY"
8359	"WALVIS BAY"	"ZAZAWALVISBAY"
187910	"ISCOR - BUS RANK"	"ZAZAISCOR-BUSRANK"
15799	"KEI BRIDGE"	"ZAZAKEIBRIDGE"
313323	"KOSI BAY"	"ZAZAKOSIBAY"
331241	"LEISURE BAY"	"ZAZALEISUREBAY"
187934	"MALTZ - BUS STOP"	"ZAZAMALTZ-BUSSTOP"
187939	"MANGANENG - BUS STOP"	"ZAZAMANGANENG-BUSSTOP"
187946	"MASHUKU - BUS STOP"	"ZAZAMASHUKU-BUSSTOP"
187941	"MATHIBENG - BUS STOP"	"ZAZAMATHIBENG-BUSSTOP"
187929	"MATSEPE - BUS STOP"	"ZAZAMATSEPE-BUSSTOP"
187947	"MOTHOPONG - BUS STOP"	"ZAZAMOTHOPONG-BUSSTOP"
187931	"MPUDULE - BUS STOP"	"ZAZAMPUDULE-BUSSTOP"
278958	"MUWANZA BORDER POST"	"ZAZAMUWANZABORDERPOST"
187933	"NEBO - BUS STOP"	"ZAZANEBO-BUSSTOP"
202978	"NELSON MANDELA BAY"	"ZAZANELSONMANDELABAY"
331242	"PALM BEACH"	"ZAZAPALMBEACH"
187938	"SEKUKHUNE - BUS STOP"	"ZAZASEKUKHUNE-BUSSTOP"
187930	"SEPHAKU - BUS STOP"	"ZAZASEPHAKU-BUSSTOP"
187943	"SEROKA - BUS STOP"	"ZAZASEROKA-BUSSTOP"
